OrigDeptID	NewDeptID
90014	89276
90048	89276
90029	89294
90013	89304
90040	89304
90080	89304
90065	89338
90436	89353
90452	89367
89823	89392
89835	89403
90356	89438
90095	89447
90376	89447
90134	89462
90394	89462
90141	89470
90400	89470
90118	89475
90407	89475
90104	89484
89879	89500
89913	89520
90474	89540
90495	89564
90507	89585
90501	89590
89960	89621
90006	89621
90176	90155
90287	90236
90256	90239
90521	90473
90528	90474
90522	90495
90532	90501
90581	90507
90785	90719
90922	90719
91056	90959
91056	90990
91171	91139
91287	91251
91278	91269
91476	91418
91476	91419
91501	91459
91574	91585
93218	92307
93211	92320
93218	92328
93219	92329
93224	92337
93232	92343
93234	92364
93245	92365
93250	92369
93274	92377
93282	92384
93360	92424
93367	92429
93331	92433
92458	92444
93321	92458
93342	92467
93305	92477
93313	92489
93410	92497
93415	92504
93273	92514
93428	92514
93376	92545
93377	92546
93386	92557
92712	92620
92682	92630
92682	92639
92697	92650
92364	92681
92364	92707
93084	93082
93267	93250
93349	93331
93354	93342
