jobid	jobtitle	phone	joblevel	deptid	reportto	jobtype
92111	Prime Minister	62359163	17	88703	\N	P
92137	Permanent Secretary (Prime Minister's Office)	64782568	10	88703	92111	NP
88726	Deputy Secretary	68379284	10	88704	92137	NP
88860	Director CPIB	64900270	9	88731	92137	NP
88706	Director	63249714	9	88705	88726	NP
88707	2nd Director	63249601	11	88705	88706	NP
88708	Deputy Director	63249704	8	88705	88706	NP
88709	Senior Assistant Director	63249603	10	88705	88706	NP
88710	Assistant Director	63249721	8	88705	88706	NP
88711	2nd Deputy Director	63249670	10	88705	88706	NP
88712	Acting Deputy Director	63249678	10	88705	88706	NP
88714	Director	68379757	8	88713	88726	NP
88715	Deputy Director	63249679	11	88713	88714	NP
88716	Senior Manager	68379352	10	88713	88714	NP
88717	Senior Assistant Director	68379777	9	88713	88714	NP
88718	Manager	68379478	8	88713	88714	NP
88719	Senior Deputy Director	68379366	10	88713	88714	NP
88720	Manager	68379023	9	88713	88714	NP
88721	Assistant Manager	68379525	9	88713	88720	NP
88722	Assistant Director	68379372	10	88713	88714	NP
88723	Senior Writer	68379090	10	88713	88714	NP
88724	Assistant Manager	68376307	10	88713	88714	NP
88725	Acting Deputy Director	68379809	10	88713	88714	NP
88727	Personal Assistant to Deputy Secretary	68379912	8	88704	88726	NP
88728	Senior Director	63253146	8	88704	88726	NP
88729	Personal Assistant to Senior Director	68377965	10	88704	88728	NP
88730	Senior Director	63249735	11	88704	\N	NP
88733	Director (Investigations)	64900498	8	88732	88860	NP
88734	Consultant to Director (Investigations)	64900458	8	88732	88733	NP
88735	Deputy Director	64900424	9	88732	88733	NP
88736	Senior Assistant Director	64900425	11	88732	88733	NP
88737	Senior Deputy Director	64900466	10	88732	88733	NP
88738	Assistant Director	64900470	9	88732	88733	NP
88739	Head (Special Duties Unit)	64900428	8	88732	88733	NP
88740	Head (Investigations Policy Unit)	64900460	8	88732	88733	NP
88741	Deputy Director (Policy cum Private Sector & Financial Investigations)	64900424	9	88732	88733	NP
88742	Deputy Director (Training cum Public Sector & General Investigations)	64900466	10	88732	88733	NP
88743	Senior Assistant Director (Special Investigations Branch)	64900425	9	88732	88733	NP
88744	Senior Assistant Director (Financial Investigations Branch)	64904239	8	88732	88733	NP
88745	Assistant Director (Financial Investigations Branch)	64900430	9	88732	88733	NP
88746	Assistant Director (General Investigations Branch)	64900425	10	88732	88733	NP
88747	Deputy Head (Special Investigations Branch)	64900459	9	88732	88733	NP
88748	Deputy Head (General Investigations Branch)	64904257	8	88732	88733	NP
88749	Senior Manager (Investigations Training Unit)	64900418	10	88732	88733	NP
88750	Deputy Head (Investigations Training Unit)	64900463	9	88732	88733	NP
88751	Assistant Director (Investigations Training Unit / General Investigations Branch)	64900470	9	88732	88733	NP
88752	2 Deputy Head (Financial Investigations Branch)	64900410	9	88732	88733	NP
88753	Assistant Director (Special Duties)	64900422	9	88732	88733	NP
88754	Deputy Head (Financial Investigations Branch)	64900490	10	88732	88733	NP
