staffid	jobid	postdate	enddate
295	89626	2006-11-10	2007-01-22
295	90011	2006-08-09	2007-07-19
296	92112	2015-03-20	2018-10-22
297	92113	2015-03-20	2018-10-22
298	90142	2011-04-15	2011-06-10
298	92360	2011-04-05	2011-08-25
299	92116	2015-03-20	2015-09-22
300	90447	2015-05-13	2015-06-23
300	92601	2012-10-25	2013-01-11
301	92119	2015-03-20	2015-09-22
302	89757	2009-10-10	2010-03-12
302	93240	2007-09-29	2008-01-17
302	93243	2009-07-07	2009-08-12
303	92210	2015-03-20	2015-04-08
304	89627	2004-02-12	2004-03-31
304	92363	2005-06-11	2005-12-16
305	92178	2015-03-20	2015-09-22
306	89627	2007-02-22	2007-07-13
307	92180	2015-03-20	2015-09-22
308	89650	2010-12-22	2011-02-10
308	93236	2010-06-29	2010-10-01
309	92123	2016-06-13	2018-04-22
309	92171	2015-03-20	2016-04-07
310	89959	2008-01-22	2008-02-21
310	93246	2008-02-22	2008-06-26
311	92174	2015-03-20	2015-09-22
312	92183	2015-03-20	2015-06-08
312	92272	2015-11-22	2016-04-07
313	92184	2015-03-20	2015-06-08
313	92282	2015-07-22	2016-04-07
314	92185	2015-03-20	2015-06-08
315	92186	2015-03-20	2015-06-08
316	92141	2017-01-07	2018-10-22
316	92187	2015-03-20	2015-06-08
317	92142	2017-01-07	2018-10-22
317	92188	2015-03-20	2015-06-08
318	92143	2017-01-07	2017-07-22
318	92189	2015-03-20	2015-06-08
319	92144	2017-01-07	2018-10-22
319	92190	2015-03-20	2015-06-08
320	92149	2017-01-07	2018-10-22
320	92191	2015-03-20	2015-06-08
321	92150	2017-01-07	2018-10-22
321	92192	2015-03-20	2015-06-08
322	92206	2015-03-20	2015-03-20
323	92152	2017-01-07	2018-10-22
323	92193	2015-03-20	2015-06-08
324	92153	2017-01-07	2017-01-22
324	92194	2015-03-20	2015-06-08
325	92195	2015-03-20	2015-06-08
326	92196	2015-03-20	2015-06-08
327	92207	2015-03-20	2015-03-20
328	92208	2015-03-20	2015-03-20
329	92158	2017-01-07	2018-10-22
329	92197	2015-03-20	2015-06-08
330	92159	2017-01-07	2018-10-22
330	92198	2015-03-20	2015-06-08
331	92160	2017-01-07	2018-10-22
331	92199	2015-03-20	2015-06-08
332	92200	2015-03-20	2015-03-20
332	92204	2015-03-20	2015-03-20
333	92166	2017-01-07	2017-01-22
333	92201	2015-03-20	2015-06-08
334	92202	2015-03-20	2015-06-08
335	92203	2015-03-20	2015-03-20
337	92165	2017-01-07	2018-10-22
337	92205	2015-03-20	2015-06-08
3416	88860	2015-03-20	2018-09-22
3417	88870	2015-03-20	2016-04-07
3418	88778	2015-03-20	2018-10-22
3418	88861	2015-03-20	2018-10-22
3419	88864	2015-03-20	2016-02-22
3420	88733	2015-03-20	2017-11-27
3420	88865	2015-03-20	2017-11-27
3421	88866	2015-03-20	2018-10-22
3421	88875	2018-10-07	2018-10-22
3422	88760	2015-03-20	2016-04-07
3422	88872	2015-03-20	2016-04-07
3423	88867	2015-03-20	2015-04-08
3426	88904	2017-01-07	2018-06-22
3427	88879	2015-03-20	2018-10-22
3427	88883	2015-03-20	2018-10-22
3428	88884	2015-03-20	2018-10-22
3429	88895	2018-04-07	2018-10-22
3429	88906	2015-03-20	2018-03-22
3430	88885	2015-03-20	2015-03-20
3431	88911	2016-04-07	2018-01-22
3433	88887	2015-03-20	2015-03-20
3434	88913	2015-03-20	2017-03-22
3437	88894	2016-04-07	2018-06-22
3438	88914	2015-03-20	2017-03-22
3439	88902	2018-05-07	2018-10-22
3439	88905	2018-04-07	2018-04-22
3439	88907	2015-03-20	2018-03-22
3442	88886	2018-02-07	2018-03-22
3442	88898	2018-04-07	2018-10-22
3445	88888	2015-03-20	2018-10-22
3448	88918	2015-03-20	2018-10-22
3449	88919	2015-03-20	2018-10-22
3450	88920	2015-03-20	2018-10-22
3452	88922	2015-03-20	2018-10-22
3453	88923	2015-03-20	2018-10-22
3454	88925	2015-03-20	2018-10-22
3455	88926	2015-03-20	2018-10-22
3618	93255	2015-03-20	2016-07-22
3618	93470	2015-03-20	2016-04-07
3619	93256	2015-03-20	2016-07-22
3619	93471	2015-03-20	2016-04-07
3620	92348	2016-08-07	2017-03-22
3620	93257	2015-03-20	2016-07-22
3621	93215	2015-03-20	2015-09-22
3621	93263	2015-03-20	2015-09-22
3622	92346	2016-08-07	2017-07-07
3622	92348	2017-04-07	2017-04-07
3622	92350	2016-08-07	2017-07-07
3622	93229	2015-03-20	2016-07-22
3622	93258	2015-03-20	2016-07-22
3623	92354	2017-02-07	2017-03-22
3623	92355	2016-08-07	2017-01-22
3623	92374	2016-08-07	2017-01-22
3623	92708	2017-02-07	2017-05-22
3623	92724	2017-02-07	2017-05-22
3623	93235	2015-03-20	2016-07-22
3623	93261	2015-04-08	2016-07-22
3623	93265	2015-03-20	2015-03-20
3624	92352	2017-02-07	2017-07-07
3624	92356	2016-08-07	2017-01-22
3624	92692	2017-04-07	2017-05-22
3624	92693	2017-02-07	2017-03-22
3624	92726	2017-04-07	2017-05-22
3624	92727	2017-02-07	2017-03-22
3624	93262	2015-04-08	2016-07-22
3624	93266	2015-03-20	2015-03-20
3626	92349	2016-08-07	2017-07-07
3626	93260	2015-03-20	2016-07-22
3629	93474	2015-03-20	2015-06-08
3630	93473	2015-07-22	2016-04-07
3630	93475	2015-03-20	2015-06-08
3631	89129	2015-03-20	2018-01-22
3631	89259	2015-03-20	2018-10-22
3631	91397	2015-03-20	2018-10-22
3632	89130	2015-03-20	2018-01-22
3632	89264	2016-10-07	2018-10-22
3632	89271	2015-10-07	2016-09-22
3632	89272	2015-03-20	2015-09-22
3633	89131	2015-03-20	2018-01-22
3634	89133	2015-03-20	2016-04-07
3634	89134	2016-06-13	2018-01-22
3636	89066	2015-06-08	2016-04-07
