JobID	RequiredSkill
92112	Evaluative
92112	Management
92113	Conceptual
92113	Critical Thinking
92116	Analytical
92116	Conceptual
92119	Interpersonal
92210	Interpersonal
92210	Communication
92210	Development
92178	Conceptual
92178	Evaluative
92180	Management
92180	Critical Thinking
92180	Development
92123	Interpersonal
92123	Administrative
92171	Development
92174	Conceptual
92174	Critical Thinking
92100	Evaluative
92100	Development
92183	Conceptual
92272	Conceptual
92272	Management
92184	Analytical
92282	Analytical
92282	Management
89247	Administrative
92185	Interpersonal
92185	Management
89248	Management
92186	Management
92186	Administrative
92141	Development
92187	Evaluative
92187	Development
92142	Development
92142	Management
92188	Analytical
92188	Conceptual
92143	Analytical
92143	Development
92189	Conceptual
92189	Management
92144	Interpersonal
92144	Administrative
92190	Administrative
92149	Communication
92149	Administrative
92191	Interpersonal
92191	Communication
92150	Evaluative
92150	Administrative
92192	Interpersonal
92192	Administrative
92206	Interpersonal
92206	Administrative
92152	Analytical
92152	Administrative
92193	Evaluative
92193	Development
92153	Communication
92153	Critical Thinking
92194	Conceptual
92195	Critical Thinking
92195	Administrative
92196	Critical Thinking
92196	Administrative
92207	Development
92207	Management
92208	Analytical
92208	Critical Thinking
92208	Management
92158	Evaluative
92158	Communication
92158	Administrative
92197	Critical Thinking
92159	Communication
92159	Administrative
92198	Interpersonal
92160	Interpersonal
92160	Communication
92199	Analytical
92199	Evaluative
92200	Evaluative
92200	Communication
92200	Administrative
92204	Evaluative
92204	Development
92166	Analytical
92166	Administrative
92201	Analytical
92201	Interpersonal
92202	Analytical
92202	Critical Thinking
92202	Management
92203	Communication
92203	Development
92165	Analytical
92165	Administrative
92205	Interpersonal
92205	Development
88860	Interpersonal
88860	Communication
88860	Development
88870	Development
88870	Critical Thinking
88778	Communication
88778	Development
88861	Management
88861	Critical Thinking
88862	Management
88864	Evaluative
88864	Administrative
88733	Evaluative
88733	Critical Thinking
88865	Analytical
88865	Communication
88866	Critical Thinking
88866	Administrative
88875	Development
88875	Critical Thinking
88760	Conceptual
88760	Communication
88872	Communication
88872	Administrative
88867	Analytical
88867	Communication
88878	Development
88878	Critical Thinking
88882	Analytical
88904	Conceptual
88904	Administrative
88879	Communication
88883	Interpersonal
88884	Evaluative
88884	Communication
88880	Analytical
88880	Communication
88895	Management
88895	Administrative
88906	Interpersonal
88885	Conceptual
88885	Interpersonal
88889	Communication
88889	Development
88908	Management
88908	Critical Thinking
88908	Development
88886	Conceptual
88886	Critical Thinking
88900	Analytical
88900	Interpersonal
88909	Communication
88909	Administrative
88911	Analytical
88911	Interpersonal
88887	Communication
88887	Critical Thinking
88891	Conceptual
88891	Development
88913	Critical Thinking
88913	Administrative
88896	Conceptual
88896	Management
88894	Communication
88914	Development
88902	Analytical
88902	Conceptual
88905	Development
88907	Evaluative
88907	Critical Thinking
88892	Analytical
88892	Critical Thinking
88892	Management
88898	Critical Thinking
88898	Administrative
88888	Critical Thinking
88888	Administrative
88918	Evaluative
88918	Critical Thinking
88919	Management
88919	Critical Thinking
88919	Development
88920	Management
88920	Critical Thinking
88920	Development
88922	Conceptual
88922	Evaluative
88923	Evaluative
88923	Communication
88925	Evaluative
88925	Critical Thinking
88926	Interpersonal
88926	Communication
88926	Development
93255	Development
93255	Management
93470	Evaluative
93470	Communication
93256	Conceptual
93256	Management
93471	Interpersonal
92348	Conceptual
92348	Management
93257	Interpersonal
93215	Development
93215	Critical Thinking
93263	Conceptual
93263	Evaluative
92346	Analytical
92346	Interpersonal
92350	Management
92350	Critical Thinking
92350	Development
93229	Analytical
93229	Management
93258	Conceptual
93258	Communication
92354	Communication
92354	Management
92355	Communication
92355	Critical Thinking
92374	Analytical
92374	Conceptual
92708	Analytical
92708	Interpersonal
92724	Evaluative
92724	Communication
93235	Conceptual
93235	Management
93261	Analytical
93261	Communication
93265	Analytical
93265	Development
92352	Evaluative
92352	Interpersonal
92356	Development
92356	Critical Thinking
92692	Conceptual
92693	Analytical
92693	Management
92726	Interpersonal
92727	Evaluative
92727	Administrative
93262	Interpersonal
93262	Administrative
93266	Critical Thinking
92349	Conceptual
92349	Management
93260	Analytical
93260	Development
93474	Analytical
93474	Interpersonal
93292	Conceptual
93292	Management
93473	Interpersonal
