staffid	skill
296	Development
296	Evaluative
296	Management
297	Analytical
297	Conceptual
297	Critical Thinking
299	Analytical
299	Conceptual
299	Evaluative
301	Interpersonal
301	Management
303	Communication
303	Critical Thinking
303	Development
303	Interpersonal
305	Conceptual
305	Evaluative
307	Administrative
307	Critical Thinking
307	Development
307	Management
309	Administrative
309	Critical Thinking
309	Development
309	Interpersonal
311	Conceptual
311	Critical Thinking
311	Development
312	Conceptual
312	Development
312	Evaluative
312	Management
313	Analytical
313	Communication
313	Management
314	Administrative
314	Development
314	Interpersonal
314	Management
315	Administrative
315	Development
315	Management
316	Development
316	Evaluative
316	Interpersonal
317	Analytical
317	Conceptual
317	Development
317	Management
318	Analytical
318	Communication
318	Conceptual
318	Development
318	Management
319	Administrative
319	Interpersonal
320	Administrative
320	Communication
320	Interpersonal
321	Administrative
321	Analytical
321	Evaluative
321	Interpersonal
322	Administrative
322	Interpersonal
322	Management
323	Administrative
323	Analytical
323	Communication
323	Development
323	Evaluative
324	Communication
324	Conceptual
324	Critical Thinking
324	Evaluative
325	Administrative
325	Critical Thinking
326	Administrative
326	Critical Thinking
326	Interpersonal
327	Development
327	Interpersonal
327	Management
328	Analytical
328	Critical Thinking
328	Management
329	Administrative
329	Communication
329	Critical Thinking
329	Evaluative
330	Administrative
330	Communication
330	Evaluative
330	Interpersonal
331	Analytical
331	Communication
331	Evaluative
331	Interpersonal
332	Administrative
332	Communication
332	Development
332	Evaluative
332	Management
333	Administrative
333	Analytical
333	Critical Thinking
333	Interpersonal
334	Analytical
334	Critical Thinking
334	Evaluative
334	Management
335	Communication
335	Conceptual
335	Development
337	Administrative
337	Analytical
337	Development
337	Interpersonal
3416	Administrative
3416	Communication
3416	Development
3416	Interpersonal
3417	Critical Thinking
3417	Development
3418	Communication
3418	Critical Thinking
3418	Development
3418	Management
3419	Administrative
3419	Evaluative
3419	Management
3420	Analytical
3420	Communication
3420	Critical Thinking
3420	Evaluative
3421	Administrative
3421	Analytical
3421	Critical Thinking
3421	Development
3422	Administrative
3422	Communication
3422	Conceptual
3423	Administrative
3423	Analytical
3423	Communication
3426	Administrative
3426	Analytical
3426	Communication
3426	Conceptual
3426	Critical Thinking
3426	Development
3427	Communication
3427	Interpersonal
3428	Administrative
3428	Communication
3428	Evaluative
3429	Administrative
3429	Analytical
