StaffID	JobID	PostDate	EndDate	
295	92111	2015-03-20	2018-10-22	
298	92114	2015-03-20	2015-09-22	
374576	92114	2015-10-07	2018-10-22	
300	92098	2015-03-20	2015-09-22	
374578	92098	2015-10-07	\N	
300	92117	2015-03-20	2015-09-22	
374578	92117	2015-10-07	2018-10-22	
302	92209	2015-03-20	2015-04-08	
304	92177	2015-03-20	2015-09-22	
306	92179	2015-03-20	2015-09-22	
308	92122	2016-06-13	2016-08-12	
374586	92122	2016-08-15	2017-04-22	
308	92170	2015-03-20	2016-04-07	
308	92122	2017-04-24	\N	
310	92172	2015-03-20	2015-09-22	
374588	92172	2015-10-07	2016-04-07	
120336	92120	2015-06-08	2017-04-21	
374586	92120	2017-04-24	2017-09-22	
2649564	92120	2017-09-22	2018-05-07	
3404254	92120	2018-05-07	2018-10-22	
3404256	92120	2018-10-22	\N	
120338	92181	2015-06-08	\N	
374580	92134	2015-10-07	2015-10-22	
454306	92134	2015-11-07	2018-10-22	
374586	92130	2016-06-13	2016-07-22	
374586	92175	2015-10-07	2016-04-07	
374588	92124	2016-08-07	2017-04-22	
374588	92128	2017-05-07	2018-04-22	
374588	92132	2016-06-13	2016-07-22	
