staffid1	staffid2
298	374576
299	374577
300	374578
301	374579
311	374589
312	165014
312	457804
312	1298990
313	1298991
322	12684
325	494347
326	494348
332	65588
334	816879
3417	1301157
3435	2137481
3619	2077556
3622	2873323
3623	2796014
3624	2796015
3625	860977
3625	2873324
3626	2873325
3630	173610
3630	2439052
3636	1309971
3648	2721521
3649	1962328
3650	2834766
3651	2834782
3654	2834798
3655	2834803
3656	2834772
3658	2834801
3663	457811
3667	1301424
3671	1301427
3682	378067
3684	3019272
3685	1301435
3686	1301436
3688	3124960
3688	3581616
3693	2009682
3696	2009681
12391	466646
12392	1309798
12407	3195243
12416	1309819
12433	123496
12433	1301163
12433	1309856
12433	3019004
12436	1309858
12438	1309859
12440	1309862
12449	1309866
12462	2873369
12463	2873370
12464	2873371
12466	2873372
12467	2808409
12468	2460556
12468	2808433
12468	2808434
12469	2873378
12470	2873386
12472	2808385
12473	2808387
12474	2808388
12478	2808390
12479	2808391
12481	2808392
12482	2808399
12486	2808400
12489	2808403
12490	2808402
12491	2818630
12492	1309904
12492	2808404
12500	2808407
12500	3051291
12504	1309982
12506	173651
12514	1309923
12515	1309919
12517	1309918
12518	1309924
12525	1309931
12528	1309929
12529	173690
12530	173634
12530	546910
12530	1309986
12530	3133361
12531	1309988
12532	12559
12539	1309994
12542	3133310
12544	1309940
12550	1309953
12550	3133325
12553	1309956
12559	12532
12561	1309970
12562	3203854
12566	1309976
12573	1309948
12575	1309951
12575	2682287
12576	1309950
12580	1309936
12618	829637
12637	164784
12655	417897
12669	307723
12684	12684
12692	2447946
12714	2673047
12716	2682307
12721	3470429
12726	12787
12737	2009561
12740	2795910
12745	3216128
12747	173868
12749	173870
12750	173872
12757	173880
12759	173881
12762	2660376
12763	883698
12764	2487133
12778	870435
12786	25836
12787	12726
12790	65585
12791	65582
12795	12795
12795	25909
12799	2583110
12802	3321949
12803	1322989
12803	3775990
12806	2834844
12811	2214618
25428	2895909
25431	2895911
25433	2895910
25434	2895914
25436	2895915
25437	2895917
25438	2236571
25438	2895918
25439	2895919
25440	3133373
25441	2895921
25442	2808384
25443	2818600
25445	2818601
25448	2818605
25449	2818607
25450	2818608
25452	3717927
25454	2818610
25455	2818611
25456	2808393
25457	2808389
25458	2818616
25459	3365254
25460	2818617
25461	2818618
25462	2818619
25463	2818620
25464	2818621
25466	2818623
25467	2818624
25468	2818625
25470	2818627
25472	2818628
25474	2818631
25475	2818632
25476	2818633
25483	2808405
25501	2818638
25503	2818640
25504	2808408
25504	3380086
25505	2682308
25506	2808411
25507	2808414
25508	2808415
25508	3216165
25510	2808417
25511	2808436
25512	2808437
25513	2873377
25514	2873380
25514	3694452
25515	2447951
25515	2873381
25516	2447953
25517	2873384
25518	2873385
25519	2934657
25521	2682350
25522	2808420
25524	2808423
25525	2808425
25526	25526
25527	2808428
25528	2460545
25528	2808422
25561	320467
25574	2460555
25574	3039884
25576	2818560
25583	2137403
25584	2447952
25587	145850
25600	145961
