eventname	eventdate	ordernum	contentabst	contact	presenter	jobid	postdate
A*Star Scholarship Award Ceremony	2015-08-30	1	Opening Speech	12747	120336	92120	2015-06-08
A*Star Scholarship Award Ceremony	2015-08-30	2	The Effects Of Divorce On Young Children	25462	310	92172	2015-03-20
A*Star Scholarship Award Ceremony	2015-08-30	3	Saving Money While In College	328	306	92179	2015-03-20
A*Star Scholarship Award Ceremony	2015-08-30	4	Animal to human transplants could save lives.	34765	306	92179	2015-03-20
A*Star Scholarship Award Ceremony	2015-08-30	5	Should Adopted Children Have The Chance Of Seeing Their Biological Parents	3677	300	92098	2015-03-20
A*Star Scholarship Award Ceremony	2015-08-30	6	Advantages and disadvantages of aqua aerobics for your muscles.	779597	298	92114	2015-03-20
A*Star Scholarship Award Ceremony	2016-07-26	1	Opening Speech	2069674	308	92122	2016-06-13
A*Star Scholarship Award Ceremony	2016-07-26	2	Teachers should be paid more money.	3391912	454306	92134	2015-11-07
A*Star Scholarship Award Ceremony	2016-07-26	3	How To Study For End Of Semester Examinations	417866	295	92111	2015-03-20
A*Star Scholarship Award Ceremony	2016-07-26	4	Are Love And Tolerance The Same?	3532179	308	92122	2016-06-13
A*Star Scholarship Award Ceremony	2017-04-30	1	Opening Speech	3414783	454306	92134	2015-11-07
A*Star Scholarship Award Ceremony	2017-04-30	2	South-American tropical forests.	12668	308	92122	2017-04-24
A*Star Scholarship Award Ceremony	2017-04-30	3	The reason humans itch.	12636	454306	92134	2015-11-07
A*Star Scholarship Award Ceremony	2017-04-30	4	How Amazon started its path towards success.	65351	374576	92114	2015-10-07
A*Star Scholarship Award Ceremony	2017-04-30	5	The trauma of shooting incidents last a lifetime.	883268	454306	92134	2015-11-07
A*Star Scholarship Award Ceremony	2017-04-30	6	The most dangerous jobs.	120337	374578	92098	2015-10-07
A*Star Scholarship Award Ceremony	2017-04-30	7	Workout myths and lies.	2673051	454306	92134	2015-11-07
Administrative Service Dinner	2015-10-04	1	Opening Speech	322	120336	92120	2015-06-08
Administrative Service Dinner	2015-10-04	2	Plants, animals and organisms that live in the ocean.	3451	120336	92120	2015-06-08
Administrative Service Dinner	2016-01-27	1	Opening Speech	2660563	374578	92098	2015-10-07
Administrative Service Dinner	2016-01-27	2	The different learning styles students have.	12510	308	92170	2015-03-20
Administrative Service Dinner	2016-01-27	3	How to avoid computer viruses.	2682289	295	92111	2015-03-20
Administrative Service Dinner	2016-01-27	4	Proper Email Etiquette	1514868	295	92111	2015-03-20
Administrative Service Dinner	2016-01-27	5	Reducing Domestic Violence Today	25914	308	92170	2015-03-20
Administrative Service Dinner	2016-01-27	6	Human resources management in colleges.	38749	120336	92120	2015-06-08
Administrative Service Dinner	2017-12-19	1	Opening Speech	25915	2649564	92120	2017-09-22
Administrative Service Dinner	2017-12-19	2	How To Become A High Earning CEO	25704	308	92122	2017-04-24
Administrative Service Dinner	2017-12-19	3	How to determine your body fat percentage in three steps, and when are you in	2682336	2649564	92120	2017-09-22
Administrative Service Dinner	2017-12-19	4	Why taking a vacation is good for your health.	34728	2649564	92120	2017-09-22
Adult Learning Symposium	2015-10-09	1	Opening Speech	2808411	374588	92172	2015-10-07
Adult Learning Symposium	2016-08-02	1	Opening Speech	12733	374578	92117	2015-10-07
Adult Learning Symposium	2016-08-02	2	Plastic surgery is bad for your skin.	3321944	374578	92117	2015-10-07
Adult Learning Symposium	2016-08-02	3	What are the fastest growing careers?	2031279	374576	92114	2015-10-07
Adult Learning Symposium	2016-08-02	4	Autism and its effects.	1309938	374578	92117	2015-10-07
Adult Learning Symposium	2016-08-02	5	Why performance-enhancing substances such as steroids are banned in sports.	38769	308	92122	2016-06-13
Adult Learning Symposium	2016-08-02	6	Silence against violence is harmful.	2682315	374576	92114	2015-10-07
Adult Learning Symposium	2017-12-10	1	Opening Speech	3230497	374578	92098	2015-10-07
Adult Learning Symposium	2017-12-10	2	The benefits of magnesium.	3426	374578	92098	2015-10-07
Anti-Corruption Summit	2016-02-21	1	Opening Speech	12464	374576	92114	2015-10-07
Anti-Corruption Summit	2016-02-21	2	Why oxygen is so important.	12512	374578	92117	2015-10-07
Anti-Corruption Summit	2016-02-21	3	How visual arts can be used for educational organizations.	1309948	374578	92117	2015-10-07
Anti-Corruption Summit	2016-02-21	4	When do babies start talking?	3216051	120336	92120	2015-06-08
Anti-Corruption Summit	2016-02-21	5	How To Become A High Earning CEO	12507	374576	92114	2015-10-07
Anti-Corruption Summit	2016-02-21	6	Education is the master key to all.	3643	454306	92134	2015-11-07
Anti-Corruption Summit	2017-02-28	1	Opening Speech	1301163	374586	92122	2016-08-15
Anti-Corruption Summit	2017-02-28	2	The benefits of wind tunnels on transport.	3027660	295	92111	2015-03-20
Anti-Corruption Summit	2017-02-28	3	Junk food and its relation to obesity.	25633	374576	92114	2015-10-07
Anti-Corruption Summit	2017-02-28	4	How celiac disease affects our world.	25465	120336	92120	2015-06-08
Anti-Corruption Summit	2017-02-28	5	The benefits of mindfulness.	1322947	295	92111	2015-03-20
Anti-Corruption Summit	2018-06-17	1	Opening Speech	3145599	3404254	92120	2018-05-07
Anti-Corruption Summit	2018-06-17	2	How to use email to promote your business.	78586	374578	92098	2015-10-07
APAIE Conference and Exhibition	2015-10-04	1	Opening Speech	34789	120336	92120	2015-06-08
APAIE Conference and Exhibition	2015-10-04	2	Importance Of Using Academic Writing Services	26019	120336	92120	2015-06-08
APAIE Conference and Exhibition	2015-10-04	3	A guide to different social media sites.	12609	120336	92120	2015-06-08
APAIE Conference and Exhibition	2015-10-04	4	How Is Social Media Changing Our Lives	25485	120336	92120	2015-06-08
APAIE Conference and Exhibition	2015-10-04	5	How technology has destroyed human interaction.	12449	308	92170	2015-03-20
APAIE Conference and Exhibition	2016-10-11	1	Opening Speech	25875	454306	92134	2015-11-07
APAIE Conference and Exhibition	2016-10-11	2	The prevalence of dangerous chemicals in the workplace.	1309830	374586	92122	2016-08-15
APAIE Conference and Exhibition	2016-10-11	3	The incredible power of the mind.	12696	374586	92122	2016-08-15
APAIE Conference and Exhibition	2016-10-11	4	Quality control and tracking if everything went well as you planned it should be.	65350	374586	92122	2016-08-15
APAIE Conference and Exhibition	2016-10-11	5	Different methods of strength training programs for revalidating patients. Ideas for informative speech topics on fitness:	3589855	454306	92134	2015-11-07
APAIE Conference and Exhibition	2016-10-11	6	Which Are The Most Nutritious Fruits Today?	38741	374578	92098	2015-10-07
APAIE Conference and Exhibition	2017-12-28	1	Opening Speech	25487	454306	92134	2015-11-07
APAIE Conference and Exhibition	2017-12-28	2	The best new technologies.	779622	2649564	92120	2017-09-22
Appointment and Appreciation Ceremony for Principals	2015-07-05	1	Opening Speech	12413	298	92114	2015-03-20
Appointment and Appreciation Ceremony for Principals	2015-07-05	2	How to get a really good sleep.	1309831	298	92114	2015-03-20
Appointment and Appreciation Ceremony for Principals	2015-07-05	3	Aggression is a real presence in society.	34752	310	92172	2015-03-20
Appointment and Appreciation Ceremony for Principals	2016-09-14	1	Opening Speech	2711514	374576	92114	2015-10-07
Appointment and Appreciation Ceremony for Principals	2017-03-04	1	Opening Speech	3321939	374576	92114	2015-10-07
Appointment and Appreciation Ceremony for Principals	2017-03-04	2	How to cure and prevent hangovers.	65350	454306	92134	2015-11-07
Appointment and Appreciation Ceremony for Principals	2017-03-04	3	Why polar bears are going extinct.	2031279	374586	92122	2016-08-15
Appointment and Appreciation Ceremony for Principals	2017-03-04	4	What Should We Do To Prevent Abuse Of Animals Effectively	38756	454306	92134	2015-11-07
APSN Charity Dinner	2015-04-05	1	Opening Speech	2847421	306	92179	2015-03-20
APSN Charity Dinner	2015-04-05	2	The difference between hardware and software.	3654	306	92179	2015-03-20
APSN Charity Dinner	2015-04-05	3	The fundamentals of logistics for oil and gas exploration.	307497	300	92098	2015-03-20
APSN Charity Dinner	2016-01-22	1	Opening Speech	78563	120336	92120	2015-06-08
APSN Charity Dinner	2016-01-22	2	Telemarketing ideas for small companies, techniques to operate on low costs per lead you get by direct marketing phone calls.	2682292	374578	92117	2015-10-07
APSN Charity Dinner	2016-01-22	3	The basics of getting a fellowship.	26024	374588	92172	2015-10-07
APSN Charity Dinner	2016-01-22	4	Yoga tips for beginners and starters-ideal to demonstrate some postures.	2660577	374578	92098	2015-10-07
APSN Charity Dinner	2017-04-18	1	Opening Speech	2137482	120336	92120	2015-06-08
Arts Education Conference	2015-11-13	1	Opening Speech	1309970	374576	92114	2015-10-07
Arts Education Conference	2015-11-13	2	The education system in Pakistan.	78598	374576	92114	2015-10-07
Arts Education Conference	2015-11-13	3	Effects Of Hurricane Katrina	3216052	374588	92172	2015-10-07
Arts Education Conference	2015-11-13	4	Dancing is your secret weapon for happiness and health.	25735	308	92170	2015-03-20
Arts Education Conference	2015-11-13	5	Wealthiest Companies In The World Today	1322457	374578	92117	2015-10-07
Arts Education Conference	2016-11-10	1	Opening Speech	12718	120336	92120	2015-06-08
